# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.908363031841204815e+01 2.248061007802987926e-02 1.159867953528660872e-01 8.574669025187414695e-02 2.215725458955290531e-09 9.752726369095464642e-01
6.908363031841204815e+01 2.248061007802987926e-02 1.159867953528660872e-01 8.574669025187414695e-02 2.215725458955290531e-09 9.752726369095464642e-01
6.908363031841204815e+01 2.248061007802987926e-02 1.159867953528660872e-01 8.574669025187414695e-02 2.215725458955290531e-09 9.752726369095464642e-01
6.908363031841204815e+01 2.248061007802987926e-02 1.159867953528660872e-01 8.574669025187414695e-02 2.215725458955290531e-09 9.752726369095464642e-01
6.908363031841204815e+01 2.248061007802987926e-02 1.159867953528660872e-01 8.574669025187414695e-02 2.215725458955290531e-09 9.752726369095464642e-01
6.857779337049110779e+01 2.239868859159085610e-02 1.169139377018597742e-01 8.147028452265284160e-02 2.203109153722349559e-09 9.736908895703170197e-01
6.857779337049110779e+01 2.239868859159085610e-02 1.169139377018597742e-01 8.147028452265284160e-02 2.203109153722349559e-09 9.736908895703170197e-01
6.857779337049110779e+01 2.239868859159085610e-02 1.169139377018597742e-01 8.147028452265284160e-02 2.203109153722349559e-09 9.736908895703170197e-01
6.857779337049110779e+01 2.239868859159085610e-02 1.169139377018597742e-01 8.147028452265284160e-02 2.203109153722349559e-09 9.736908895703170197e-01
6.952707537135998450e+01 2.247390228921330307e-02 1.146668915480335699e-01 7.236553432206367653e-02 2.148574457369750289e-09 9.777754155701425809e-01
6.952707537135998450e+01 2.247390228921330307e-02 1.146668915480335699e-01 7.236553432206367653e-02 2.148574457369750289e-09 9.777754155701425809e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
6.925859580759488665e+01 2.259482115632544669e-02 1.153729171748602983e-01 8.199809913536983130e-02 2.192387114592478082e-09 9.767306163422615484e-01
