# ['H0', 'ombh2', 'omch2', 'tau', 'As', 'ns']
6.824735666652362909e+01 2.236440913795809809e-02 1.176563281949343232e-01 8.542083657580119838e-02 2.219212155224076627e-09 9.730736805867613581e-01
6.804110885986531798e+01 2.225034194781496874e-02 1.176813527040042190e-01 8.621901731612253983e-02 2.218202533016705310e-09 9.749623468825788786e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.785631605729334126e+01 2.229260981078070442e-02 1.182459570331869936e-01 6.139701599786435288e-02 2.113813516997154598e-09 9.725744241084453012e-01
6.830317028022625436e+01 2.223827341238939631e-02 1.175498376884461099e-01 5.248757374474787019e-02 2.075005670053591996e-09 9.764039378025390903e-01
6.830317028022625436e+01 2.223827341238939631e-02 1.175498376884461099e-01 5.248757374474787019e-02 2.075005670053591996e-09 9.764039378025390903e-01
6.830317028022625436e+01 2.223827341238939631e-02 1.175498376884461099e-01 5.248757374474787019e-02 2.075005670053591996e-09 9.764039378025390903e-01
6.854815550836026716e+01 2.234258148852087678e-02 1.174015403451610651e-01 6.698330621450888922e-02 2.137968461729876586e-09 9.777827144718058694e-01
